qid,model,gold,pred,A,B,C,D,correct
0,Qwen/Qwen2.5-7B-Instruct,A,B,-26.421875,0.0,-25.90625,-22.828125,False
0,Qwen/Qwen2.5-7B-Instruct,B,A,-2.384185791015625e-07,-15.40625,-22.640625,-21.59375,False
0,Qwen/Qwen2.5-7B-Instruct,C,A,0.0,-22.421875,-18.703125,-20.53125,False
0,Qwen/Qwen2.5-7B-Instruct,D,C,-25.09375,-23.328125,0.0,-20.203125,False
1,Qwen/Qwen2.5-7B-Instruct,A,D,-16.3125,-19.46875,-11.25,-1.3113021850585938e-05,False
1,Qwen/Qwen2.5-7B-Instruct,B,B,-15.515625,-7.152557373046875e-07,-19.921875,-14.453125,True
1,Qwen/Qwen2.5-7B-Instruct,C,B,-20.375,-2.5272369384765625e-05,-11.34375,-11.21875,False
1,Qwen/Qwen2.5-7B-Instruct,D,D,-20.046875,-21.75,-20.640625,0.0,True
2,Qwen/Qwen2.5-7B-Instruct,A,A,-0.040679931640625,-3.259765625,-6.5390625,-14.3984375,True
2,Qwen/Qwen2.5-7B-Instruct,B,B,-24.78125,0.0,-23.640625,-18.515625,True
2,Qwen/Qwen2.5-7B-Instruct,C,C,-25.125,-25.71875,0.0,-20.046875,True
2,Qwen/Qwen2.5-7B-Instruct,D,D,-22.625,-23.8125,-17.609375,0.0,True
3,Qwen/Qwen2.5-7B-Instruct,A,A,0.0,-23.8125,-23.890625,-25.140625,True
3,Qwen/Qwen2.5-7B-Instruct,B,B,-27.171875,0.0,-24.359375,-25.1875,True
3,Qwen/Qwen2.5-7B-Instruct,C,C,-25.875,-25.59375,0.0,-23.484375,True
3,Qwen/Qwen2.5-7B-Instruct,D,D,-22.53125,-23.015625,-25.625,0.0,True
4,Qwen/Qwen2.5-7B-Instruct,A,A,0.0,-22.609375,-23.484375,-24.59375,True
4,Qwen/Qwen2.5-7B-Instruct,B,B,-20.53125,0.0,-24.90625,-23.859375,True
4,Qwen/Qwen2.5-7B-Instruct,C,C,-23.078125,-27.53125,0.0,-25.03125,True
4,Qwen/Qwen2.5-7B-Instruct,D,D,-18.421875,-23.78125,-22.53125,0.0,True
5,Qwen/Qwen2.5-7B-Instruct,A,A,-0.126953125,-12.0,-2.126953125,-12.953125,True
5,Qwen/Qwen2.5-7B-Instruct,B,B,-19.765625,0.0,-20.296875,-20.875,True
5,Qwen/Qwen2.5-7B-Instruct,C,C,-24.46875,-19.421875,0.0,-22.234375,True
5,Qwen/Qwen2.5-7B-Instruct,D,D,-23.53125,-20.984375,-17.03125,0.0,True
6,Qwen/Qwen2.5-7B-Instruct,A,A,0.0,-17.0625,-19.09375,-21.640625,True
6,Qwen/Qwen2.5-7B-Instruct,B,B,-13.6875,-2.0265579223632812e-06,-14.390625,-15.171875,True
6,Qwen/Qwen2.5-7B-Instruct,C,C,-13.984375,-10.625,-2.5153160095214844e-05,-20.21875,True
6,Qwen/Qwen2.5-7B-Instruct,D,D,-19.25,-17.015625,-21.890625,0.0,True
7,Qwen/Qwen2.5-7B-Instruct,A,A,0.0,-23.9375,-20.609375,-25.171875,True
7,Qwen/Qwen2.5-7B-Instruct,B,B,-26.265625,0.0,-22.890625,-17.90625,True
7,Qwen/Qwen2.5-7B-Instruct,C,C,-24.65625,-22.625,0.0,-22.578125,True
7,Qwen/Qwen2.5-7B-Instruct,D,A,-0.33056640625,-20.90625,-19.015625,-1.267578125,False
